Ga0376025_0008505_1814_2392	Ga0376025_0008505_1814_2392
Ga0376025_0008505_5942_6442	Ga0376025_0008505_5942_6442
Ga0376025_0008505_11883_12017	Ga0376025_0008505_11883_12017
Ga0376025_0008723_1_345	Ga0376025_0008723_1_345
Ga0376025_0008723_885_1124	Ga0376025_0008723_885_1124
Ga0376025_0008723_10265_10492	Ga0376025_0008723_10265_10492
Ga0376025_0008749_5677_5883	Ga0376025_0008749_5677_5883
Ga0376025_0008843_11355_11705	Ga0376025_0008843_11355_11705
Ga0376025_0008843_11726_11830	Ga0376025_0008843_11726_11830
Ga0376025_0008843_12118_12204	Ga0376025_0008843_12118_12204
Ga0376025_0008902_330_542	Ga0376025_0008902_330_542
Ga0376025_0008919_1908_3731	Ga0376025_0008919_1908_3731
Ga0376025_0008919_4135_5988	Ga0376025_0008919_4135_5988
Ga0376025_0008919_6056_7270	Ga0376025_0008919_6056_7270
Ga0376025_0008919_6056_7270	Ga0376025_0005895_7027_8136
Ga0376025_0008919_7715_8365	Ga0376025_0008919_7715_8365
Ga0376025_0008919_8845_10392	Ga0376025_0008919_8845_10392
Ga0376025_0008919_10895_11896	Ga0376025_0008919_10895_11896
Ga0376025_0008995_3_4748	Ga0376025_0008995_3_4748
Ga0376025_0008995_4816_6753	Ga0376025_0008995_4816_6753
Ga0376025_0008995_11763_11993	Ga0376025_0008995_11763_11993
Ga0376025_0009087_1785_11171	Ga0376025_0009087_1785_11171
Ga0376025_0009087_1785_11171	Ga0376025_0001096_31453_35259
Ga0376025_0009087_1785_11171	Ga0376025_0004416_14289_17234
Ga0376025_0009087_1785_11171	Ga0376025_0010344_2_2608
Ga0376025_0009087_1785_11171	Ga0376025_0003354_11228_15250
Ga0376025_0009087_1785_11171	Ga0376025_0001667_13559_21712
Ga0376025_0009087_1785_11171	Ga0376025_0002974_1034_3019
Ga0376025_0009091_3_833	Ga0376025_0009091_3_833
Ga0376025_0009091_1256_2620	Ga0376025_0009091_1256_2620
Ga0376025_0009091_3819_5039	Ga0376025_0009091_3819_5039
Ga0376025_0009091_5378_6082	Ga0376025_0009091_5378_6082
Ga0376025_0009091_6156_7013	Ga0376025_0009091_6156_7013
Ga0376025_0009091_7045_8226	Ga0376025_0009091_7045_8226
Ga0376025_0009091_8239_9081	Ga0376025_0009091_8239_9081
Ga0376025_0009091_9078_10778	Ga0376025_0009091_9078_10778
Ga0376025_0009269_3_392	Ga0376025_0009269_3_392
Ga0376025_0009269_1720_2781	Ga0376025_0009269_1720_2781
Ga0376025_0009269_3130_4743	Ga0376025_0009269_3130_4743
